name,type,lat,lon,cuisine,source
Coffee Bean,cafe,12.9123969,77.6407671,,OSM
Manipal County,restaurant,12.8737015,77.6420142,,OSM
Naati oota,restaurant,12.936869,77.6247225,indian,OSM
Sizzlers and more,restaurant,12.9368481,77.6198784,international,OSM
China Bowl restaurant,restaurant,12.936937,77.6202003,chinese,OSM
Malabar cafe,restaurant,12.9368899,77.6197711,indian,OSM
Desi Tadka,restaurant,12.9369893,77.6201144,indian,OSM
Chinese Cottage,restaurant,12.9368847,77.6246206,chinese,OSM
Chalo Punjab,restaurant,12.9377944,77.6266966,indian,OSM
Ambrosia restaurant,restaurant,12.9361835,77.6258638,international,OSM
Kwality Walls,restaurant,12.9380577,77.6261445,ice_cream,OSM
Bhagini Residency,restaurant,13.0200035,77.7088068,indian,OSM
Jharoka,restaurant,12.9120524,77.6379776,,OSM
Kottayam,restaurant,12.9143549,77.6383198,indian,OSM
McDonald's,fast_food,12.9121865,77.6379811,burger,OSM
Third Wave Coffee Roasters,cafe,12.9961239,77.6132737,coffee_shop,OSM
